mercadoria,sentido,porto,data_coleta
GRAN.LIQUIDO NAO ESPECIF,IMPORTAÇÃO,SANTOS,2025-02-18 16:12:12
OLEO DIESEL,EXPORTAÇÃO,SANTOS,2025-02-18 16:12:12
GAS LIQUEFEITO,IMPORTAÇÃO,SANTOS,2025-02-18 16:12:12
ETHANOL,EXPORTAÇÃO,SANTOS,2025-02-18 16:12:12
OLEO VEGETAL,EXPORTAÇÃO,SANTOS,2025-02-18 16:12:12
OLEO COMBUSTIVEL,EXPORTAÇÃO,SANTOS,2025-02-18 16:12:12
GASOLINA COMUM,EXPORTAÇÃO,SANTOS,2025-02-18 16:12:12
OLEO DIESEL,IMPORTAÇÃO,SANTOS,2025-02-18 16:12:12
SODA CAUSTICA,IMPORTAÇÃO,SANTOS,2025-02-18 16:12:12
OLEO LUBRIFICANTE,IMPORTAÇÃO,SANTOS,2025-02-18 16:12:12
GRAN.LIQUIDO NAO ESPECIF GRAN.LIQUIDO NAO ESPECIF,EMB DESC,SANTOS,2025-02-18 16:12:12
GRAN.LIQUIDO NAO ESPECIF,EXPORTAÇÃO,SANTOS,2025-02-18 16:12:12
